id,title,artists,releasename,releaseyear,releaseurl,cd,track,volume,spotify_id
160,Shotgun,George Ezra,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,11,102,4ofwffwvvnbSkrMSCKQDaC
161,Low,Lenny Kravitz,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,12,102,2GAhgAjOhEmItWLfgisyOn
162,Start Again,"OneRepublic,Logic (27)",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,13,102,4l5e4G1RzrfWWFgehoEgAH
163,I'll Be There,Jess Glynne,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,14,102,5RdhBLmB4DyFHLglRrfx63
164,The Bravest,Sir Rosevelt,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,15,102,4J9vNqmh3rQp23KMxBlTuP
165,Better Now,Post Malone,Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,16,102,7dt6x5M1jzdTEt8oCbisTK
166,Clandestino,"Shakira,Maluma",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,17,102,7DrluKkTviBwCc8AV3VGmf
167,Calypso,"Luis Fonsi,Stefflon Don",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,18,102,7LnSzodUYCf5JiWtCX73EC
168,One Night Stand,Capital (12),Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,19,102,47qZzTLLJcuD69AIKnquo4
169,Champion Sound,"Marteria,Casper",Bravo Hits 102,2018,https://api.discogs.com/releases/12336449,1,20,102,3vTW0qXIitjhZW5kfTwBTv
